sample-id	bird-code	bird-name	year	sex	group	sample-type	day	date-collected	date-extracted	sample-weight	extraction-id	ng-uL	A260-280
F355-30	13-355	Amethyst	2017	M	PR	fecal	30	6/22/2017	12/9/2022	237.99	JG	31.6	2.714
F355-50	13-355	Amethyst	2017	M	PR	fecal	50	7/12/2017	12/9/2022	225.15	JG	27.29	3.63
F355-70	13-355	Amethyst	2017	M	PR	fecal	70	8/2/2017	12/9/2022	233.54	JG	12.177	0.402
F358-14-2	13-358	Topaz	2017	F	AR	fecal	14	6/15/2017	12/9/2022	258.99	JG	17.898	1.517
F358-30-2	13-358	Topaz	2017	F	AR	fecal	30	7/1/2017	12/9/2022	243.7	JG	13.834	1.568
F358-50-2	13-358	Topaz	2017	F	AR	fecal	50	7/21/2017	12/9/2022	257.95	JG	10.788	1.264
F358-70-2	13-358	Topaz	2017	F	AR	fecal	70	8/10/2017	12/9/2022	219.77	JG	10.948	1.41
F360-14-2	13-360	Citrine	2017	F	AR	fecal	14	6/24/2017	12/9/2022	269.08	JG	48.554	0.981
F360-30-2	13-360	Citrine	2017	F	AR	fecal	30	7/10/2017	12/9/2022	231.8	JG	17.858	1.477
F360-50-2	13-360	Citrine	2017	F	AR	fecal	50	7/30/2017	12/9/2022	246.43	JG	7.441	0.883
F360-70-2	13-360	Citrine	2017	F	AR	fecal	70	8/19/2017	12/9/2022	270.73	JG	16.977	0.876
F361-14-2	13-361	Zinc	2017	M	AR	fecal	14	6/27/2017	12/9/2022	212.18	JG	11.149	1.18
F361-30-2	13-361	Zinc	2017	M	AR	fecal	30	7/14/2017	12/9/2022	216.73	JG	8.135	0.681
F361-50-2	13-361	Zinc	2017	M	AR	fecal	50	8/3/2017	12/9/2022	304.57	JG	29.195	0.604
F361-70-2	13-361	Zinc	2017	M	AR	fecal	70	8/23/2017	12/9/2022	264.84	JG	3.781	1.473
F369-14	13-369	Julep	2018	M	PR	fecal	14	6/5/2018	10/28/2022	201.8	JD/JG	1.862	0.593
F369-30	13-369	Julep	2018	M	PR	fecal	30	6/21/2018	10/28/2022	298.4	JD/JG	3.248	1.084
F369-50	13-369	Julep	2018	M	PR	fecal	50	7/12/2018	12/9/2022	224.31	JG	35.96	1.333
F371-14	13-371	Ferdinand	2018	F	AR	fecal	14	6/13/2018	12/9/2022	239.65	JG	21.255	0.953
F371-30	13-371	Ferdinand	2018	F	AR	fecal	30	6/29/2018	10/28/2022	246.2	JD/JG	15.168	1.236
F371-50	13-371	Ferdinand	2018	F	AR	fecal	50	7/19/2018	12/9/2022	204.82	JG	33.256	1.149
F371-70	13-371	Ferdinand	2018	F	AR	fecal	70	8/8/2018	12/9/2022	231.96	JG	55.425	0.419
F372-14	13-372	Derby	2018	M	AR	fecal	14	6/15/2018	12/7/2022	263.09	JG	5.478	1.323
F372-30	13-372	Derby	2018	M	AR	fecal	30	7/2/2018	12/7/2022	284.45	JG	5.72	1.183
F372-50	13-372	Derby	2018	M	AR	fecal	50	7/20/2018	12/9/2022	169.48	JG	24.816	0.487
F372-70	13-372	Derby	2018	M	AR	fecal	70	8/10/2018	12/9/2022	233.34	JG	64.343	0.432
F377-14	13-377	Meridian	2018	M	AR	fecal	14	7/3/2018	12/9/2022	228.82	JG	47.335	1.078
F377-30	13-377	Meridian	2018	M	AR	fecal	30	7/19/2018	12/9/2022	215.2	JG	41.885	0.973
F377-50	13-377	Meridian	2018	M	AR	fecal	50	8/8/2018	12/7/2022	292.84	JG	22.232	0.678
F377-70	13-377	Meridian	2018	M	AR	fecal	70	8/28/2018	12/9/2022	334.96	JG	11.343	0.757
F378-14	13-378	Paddock	2018	M	AR	fecal	14	7/3/2018	12/7/2022	232.26	JG	23.001	1.045
F378-30	13-378	Paddock	2018	M	AR	fecal	30	7/19/2018	10/28/2022	181.8	JD/JG	10.71	1.632
F378-50	13-378	Paddock	2018	M	AR	fecal	50	8/8/2018	10/28/2022	366.6	JD/JG	16.641	1.623
F378-70	13-378	Paddock	2018	M	AR	fecal	70	8/28/2018	12/9/2022	236.58	JG	30.259	0.611
F379-14	13-379	Whiskey	2018	F	AR	fecal	14	7/18/2018	10/28/2022	199.9	JD/JG	2.92	1.141
F379-30	13-379	Whiskey	2018	F	AR	fecal	30	8/3/2018	12/9/2022	229.78	JG	40.259	0.941
F379-50	13-379	Whiskey	2018	F	AR	fecal	50	8/23/2018	12/9/2022	222.78	JG	24.028	0.64
F379-70	13-379	Whiskey	2018	F	AR	fecal	70	9/12/2018	10/28/2022	220.5	JD/JG	5.673	1.418
F381-14	13-381	Nymeria	2019	M	AR	fecal	14	5/22/2019	12/9/2022	218.77	JG	37.96	1.018
F381-30	13-381	Nymeria	2019	M	AR	fecal	30	6/7/2019	12/9/2022	301.65	JG	47.25	0.623
F381-50-2	13-381	Nymeria	2019	M	AR	fecal	50	6/27/2019	12/9/2022	177.17	JG	21.494	0.998
F381-70	13-381	Nymeria	2019	M	AR	fecal	70	7/17/2019	12/9/2022	286.29	JG	36.37	0.649
F382-14	13-382	Wilding	2019	F	AR	fecal	14	5/22/2019	12/9/2022	237.08	JG	11.731	0.565
F382-30-2	13-382	Wilding	2019	F	AR	fecal	30	6/7/2019	12/9/2022	251.78	JG	11.784	1.866
F382-50	13-382	Wilding	2019	F	AR	fecal	50	6/27/2019	12/7/2022	237.72	JG	18.989	1.382
F382-70	13-382	Wilding	2019	F	AR	fecal	70	7/17/2019	10/28/2022	202.9	JD/JG	9.313	1.573
F383-14	13-383	Viserion	2019	M	AR-FMT	fecal	14	5/22/2019	12/9/2022	265.87	JG	23.283	1.041
F383-30-2	13-383	Viserion	2019	M	AR-FMT	fecal	30	6/7/2019	12/9/2022	225.46	JG	31.332	2.079
F383-50-2	13-383	Viserion	2019	M	AR-FMT	fecal	50	6/27/2019	12/9/2022	264.7	JG	52.837	0.971
F383-70	13-383	Viserion	2019	M	AR-FMT	fecal	70	7/17/2019	12/9/2022	280.39	JG	25.016	1.191
F384-14	13-384	Bravos	2019	M	AR	fecal	14	5/23/2019	12/9/2022	245.67	JG	57.418	0.507
F384-30	13-384	Bravos	2019	M	AR	fecal	30	6/7/2019	10/28/2022	185.1	JD/JG	15.781	1.455
F384-50	13-384	Bravos	2019	M	AR	fecal	50	6/28/2019	12/7/2022	274.43	JG	7.749	0.782
F384-70	13-384	Bravos	2019	M	AR	fecal	70	7/18/2019	12/7/2022	241.25	JG	18.336	0.872
F385-14	13-385	Sir Davos	2019	F	AR-FMT	fecal	14	5/24/2019	12/7/2022	241.12	JG	11.061	1.375
F385-30	13-385	Sir Davos	2019	F	AR-FMT	fecal	30	6/10/2019	12/9/2022	250.75	JG	10.445	1.21
F385-50-2	13-385	Sir Davos	2019	F	AR-FMT	fecal	50	7/1/2019	12/9/2022	269.08	JG	14.013	1.638
F385-70-3	13-385	Sir Davos	2019	F	AR-FMT	fecal	70	7/19/2019	12/9/2022	281.24	JG	25.775	1.18
F386-14-2	13-386	Kit	2019	F	AR	fecal	14	5/24/2019	12/9/2022	295.26	JG	23.012	1.079
F386-30	13-386	Kit	2019	F	AR	fecal	30	6/10/2019	12/7/2022	234.05	JG	14.342	1.797
F386-50	13-386	Kit	2019	F	AR	fecal	50	7/1/2019	12/9/2022	223.19	JG	25.731	0.438
F386-70	13-386	Kit	2019	F	AR	fecal	70	7/19/2019	10/28/2022	196.5	JD/JG	5.879	0.786
F388-14-2	13-388	Martin	2019	M	AR	fecal	14	6/14/2019	12/9/2022	293.62	JG	31.407	0.532
F388-30-2	13-388	Martin	2019	M	AR	fecal	30	7/1/2019	12/9/2022	221	JG	28.933	1.043
F388-50	13-388	Martin	2019	M	AR	fecal	50	7/19/2019	12/7/2022	251.71	JG	16.409	0.84
F388-70	13-388	Martin	2019	M	AR	fecal	70	8/8/2019	12/7/2022	222.81	JG	26.552	0.474
F389-14-2	13-389	Balerion	2019	F	PR	fecal	14	6/14/2019	12/9/2022	233.78	JG	69.438	1.764
F389-30-2	13-389	Balerion	2019	F	PR	fecal	30	7/1/2019	12/9/2022	241.17	JG	16.523	2.098
F389-50	13-389	Balerion	2019	F	PR	fecal	50	7/22/2019	12/7/2022	275.05	JG	13.477	2.991
F389-70	13-389	Balerion	2019	F	PR	fecal	70	8/9/2019	10/28/2022	263.7	JD/JG	16.214	1.58
F390-14	13-390	Arya	2019	F	PR	fecal	14	6/24/2019	12/7/2022	242.79	JG	24.764	1.7
F390-30-2	13-390	Arya	2019	F	PR	fecal	30	7/8/2019	12/9/2022	242.69	JG	25.372	0.839
F390-50	13-390	Arya	2019	F	PR	fecal	50	7/29/2019	10/28/2022	221.7	JD/JG	19.405	1.634
F390-70-2	13-390	Arya	2019	F	PR	fecal	70	8/16/2019	12/9/2022	210.41	JG	11.459	2.767
F391-14	13-391	Sansa	2019	M	AR	fecal	14	7/24/2019	12/9/2022	299.68	JG	12.722	0.347
F391-30-2	13-391	Sansa	2019	M	AR	fecal	30	8/8/2019	12/9/2022	242.64	JG	15.889	1.459
F391-50-2	13-391	Sansa	2019	M	AR	fecal	50	8/29/2019	12/9/2022	223.36	JG	45.561	0.587
F391-70	13-391	Sansa	2019	M	AR	fecal	70	9/18/2019	12/7/2022	243.29	JG	21.59	0.94
F394-14	13-394	Wampanoag	2021	M	PR	fecal	14	5/26/2021	9/30/2022	240.8	JD/JG	38.616	1.961
F394-30	13-394	Wampanoag	2021	M	PR	fecal	30	6/10/2021	12/9/2022	292.26	JG	16.478	1.521
F394-50	13-394	Wampanoag	2021	M	PR	fecal	50	7/1/2021	9/30/2022	219.1	JD/JG	9.406	0.555
F394-70	13-394	Wampanoag	2021	M	PR	fecal	70	7/21/2021	9/30/2022	213.3	JD/JG	55.451	1.239
F395-14	13-395	Ho-Chunk	2021	F	PR	fecal	14	5/28/2021	12/9/2022	281.66	JG	36.995	2.173
F395-30	13-395	Ho-Chunk	2021	F	PR	fecal	30	6/14/2021	12/7/2022	259.43	JG	21.169	2.475
F395-50	13-395	Ho-Chunk	2021	F	PR	fecal	50	7/7/2021	12/9/2022	257.11	JG	18.4	1.721
F395-70	13-395	Ho-Chunk	2021	F	PR	fecal	70	7/23/2021	12/9/2022	276.36	JG	17.336	0.987
F396-14	13-396	Yoeme	2021	M	PR	fecal	14	6/17/2021	12/7/2022	191.63	JG	30.676	1.796
F396-30	13-396	Yoeme	2021	M	PR	fecal	30	7/1/2021	12/7/2022	253.14	JG	11.922	2.364
F396-50	13-396	Yoeme	2021	M	PR	fecal	50	7/23/2021	12/9/2022	255.94	JG	10.572	1.659
F396-70	13-396	Yoeme	2021	M	PR	fecal	70	8/12/2021	12/7/2022	242.89	JG	11.8	1.955
F401-14	13-401	Cicada	2022	F	AR	fecal	14	6/6/2022	10/28/2022	159.5	JD/JG	37.992	1.915
F401-30	13-401	Cicada	2022	F	AR	fecal	30	6/22/2022	10/28/2022	212.8	JD/JG	-1.126	-16.5
F401-50	13-401	Cicada	2022	F	AR	fecal	50	7/12/2022	10/28/2022	209.1	JD/JG	2.581	0.904
F401-70	13-401	Cicada	2022	F	AR	fecal	70	8/1/2022	12/7/2022	244.12	JG	9.757	2.123
F403-14	13-403	June Bug	2022	F	AR-FMT	fecal	14	6/8/2022	9/30/2022	214.8	JD/JG	126.164	0.772
F403-30	13-403	June Bug	2022	F	AR-FMT	fecal	30	6/24/2022	9/30/2022	225.2	JD/JG	9.012	0.909
F403-50	13-403	June Bug	2022	F	AR-FMT	fecal	50	7/13/2022	9/30/2022	240.4	JD/JG	13.848	1.394
F403-70	13-403	June Bug	2022	F	AR-FMT	fecal	70	8/3/2022	9/30/2022	196.5	JD/JG	97.168	0.415
F404-14	13-404	Bumble Bee	2022	F	AR	fecal	14	6/8/2022	12/7/2022	258.15	JG	6.215	1.056
F404-30	13-404	Bumble Bee	2022	F	AR	fecal	30	6/24/2022	10/28/2022	223.4	JD/JG	7.788	1.53
F404-50	13-404	Bumble Bee	2022	F	AR	fecal	50	7/13/2022	10/28/2022	192.2	JD/JG	3.296	1.627
F404-70	13-404	Bumble Bee	2022	F	AR	fecal	70	8/3/2022	9/30/2022	218.0	JD/JG	15.155	1.599
F405-14	13-405	Zulu Hud	2022	F	AR-FMT	fecal	14	6/20/2022	9/30/2022	87.0	JD/JG	28.372	0.976
F405-30	13-405	Zulu Hud	2022	F	AR-FMT	fecal	30	7/7/2022	12/7/2022	237.53	JG	8.012	1.003
F405-50	13-405	Zulu Hud	2022	F	AR-FMT	fecal	50	7/25/2022	10/28/2022	244.7	JD/JG	8.172	1.2
F405-70	13-405	Zulu Hud	2022	F	AR-FMT	fecal	70	8/15/2022	12/7/2022	263.37	JG	4.616	0.937
F406-14	13-406	Whirligig	2022	F	PR	fecal	14	6/21/2022	10/28/2022	133.2	JD/JG	15.759	1.737
F406-30	13-406	Whirligig	2022	F	PR	fecal	30	7/7/2022	9/30/2022	211.8	JD/JG	12.364	1.77
F406-50	13-406	Whirligig	2022	F	PR	fecal	50	7/27/2022	10/28/2022	231.2	JD/JG	8.861	1.563
F406-70	13-406	Whirligig	2022	F	PR	fecal	70	8/16/2022	9/30/2022	167.7	JD/JG	2.099	4.286
F407-14	13-407	Weevil	2022	F	AR-FMT	fecal	14	6/22/2022	10/28/2022	207.3	JD/JG	13.139	1.8
F407-30	13-407	Weevil	2022	F	AR-FMT	fecal	30	7/8/2022	9/30/2022	199.2	JD/JG	35.165	0.354
F407-50	13-407	Weevil	2022	F	AR-FMT	fecal	50	7/27/2022	9/30/2022	179.7	JD/JG	14.502	1.729
F407-70	13-407	Weevil	2022	F	AR-FMT	fecal	70	8/17/2022	9/30/2022	230.3	JD/JG	24.536	1.124
F408-14	13-408	Firefly	2022	F	AR	fecal	14	6/24/2022	9/30/2022	170.1	JD/JG	1.074	1.304
F408-30	13-408	Firefly	2022	F	AR	fecal	30	7/12/2022	12/7/2022	266.69	JG	1.533	0.37
F408-50	13-408	Firefly	2022	F	AR	fecal	50	7/29/2022	12/7/2022	238.65	JG	9.844	1.126
F408-70	13-408	Firefly	2022	F	AR	fecal	70	8/19/2022	10/28/2022	221.1	JD/JG	5.508	1.473
F346-21	13-346	Onyx	2017	M	AR	fecal	21	5/25/2017	9/30/2022	209.3	JD/JG	10.478	1.725
F347-21	13-347	Cobalt	2017	M	AR	fecal	21	5/25/2017	9/30/2022	176.6	JD/JG	1.505	1.2
F348-21	13-348	Sapphire	2017	M	AR	fecal	21	5/25/2017	9/30/2022	263.1	JD/JG	16.783	1.355
F353-14	13-353	Lazuli	2017	M	AR	fecal	14	5/25/2017	9/30/2022	289.8	JD/JG	4.533	0.881
Blank-5	Blank-5					blank							
Blank-6-2	Blank-6					blank							
Blank-8	Blank-8					blank							
